obs0,obs1,obs2,obs3,obs4,obs5,obs6,obs7,action,reward,do_bool
-9.562778286635875702e-03,1.408264398574829102e+00,-4.836432039737701416e-01,-7.187013328075408936e-02,1.096775382757186890e-02,1.084255576133728027e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.286047266575280901e-01,0.000000000000000000e+00
-1.424512825906276703e-02,1.407389879226684570e+00,-4.742401242256164551e-01,-3.893057256937026978e-02,1.690991222858428955e-02,1.188543438911437988e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,5.011537011621782778e-01,0.000000000000000000e+00
-1.883926428854465485e-02,1.405929088592529297e+00,-4.631617665290832520e-01,-6.496340781450271606e-02,2.062198892235755920e-02,7.424817234277725220e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,5.534363285352423834e-01,0.000000000000000000e+00
-2.343339845538139343e-02,1.403868794441223145e+00,-4.631715416908264160e-01,-9.162735193967819214e-02,2.433465234935283661e-02,7.426002621650695801e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.173857113630845106e-01,0.000000000000000000e+00
-2.794027328491210938e-02,1.401209712028503418e+00,-4.522250592708587646e-01,-1.182016879320144653e-01,2.584877796471118927e-02,3.028535842895507812e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,5.492087971583725636e-01,0.000000000000000000e+00
-3.262024000287055969e-02,1.399161696434020996e+00,-4.687861800193786621e-01,-9.103710949420928955e-02,2.663786336779594421e-02,1.578307524323463440e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,-1.196913323311594057e+00,1.000000000000000000e+00
-3.721857070922851562e-02,1.396512985229492188e+00,-4.585619866847991943e-01,-1.176999136805534363e-01,2.537742629647254944e-02,-2.521106973290443420e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,7.611277776468352574e-01,0.000000000000000000e+00
-4.172992706298828125e-02,1.393265724182128906e+00,-4.476455748081207275e-01,-1.442633420228958130e-01,2.192964404821395874e-02,-6.896200031042098999e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,9.374915305009221544e-01,0.000000000000000000e+00
-4.608135297894477844e-02,1.389959573745727539e+00,-4.324651360511779785e-01,-1.468970328569412231e-01,1.927876658737659454e-02,-5.302231386303901672e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.640270928484409252e+00,0.000000000000000000e+00
-5.050621181726455688e-02,1.386047363281250000e+00,-4.416767656803131104e-01,-1.738753616809844971e-01,1.847702823579311371e-02,-1.603646203875541687e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.367878425791899444e+00,1.000000000000000000e+00
-5.484628677368164062e-02,1.381526231765747070e+00,-4.310514330863952637e-01,-2.009060233831405640e-01,1.554833818227052689e-02,-5.857902765274047852e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,6.078968298996312303e-01,0.000000000000000000e+00
-5.912618711590766907e-02,1.376411080360412598e+00,-4.234991669654846191e-01,-2.272894680500030518e-01,1.110820565372705460e-02,-8.881062269210815430e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,4.008853626656059266e-01,0.000000000000000000e+00
