obs0,obs1,obs2,obs3,obs4,obs5,obs6,obs7,action,reward,do_bool
-1.342067681252956390e-02,1.412476062774658203e+00,-6.735990643501281738e-01,2.146971970796585083e-02,1.373843476176261902e-02,1.183416470885276794e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,4.123809040833645856e-01,0.000000000000000000e+00
-2.001934126019477844e-02,1.412367701530456543e+00,-6.638740301132202148e-01,-4.853125195950269699e-03,1.769592612981796265e-02,7.915721833705902100e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,5.822056669552762020e-01,0.000000000000000000e+00
-2.652349509298801422e-02,1.411659479141235352e+00,-6.520078778266906738e-01,-3.149982169270515442e-02,1.927171833813190460e-02,3.151900693774223328e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,9.848588203454380352e-01,0.000000000000000000e+00
-3.295116499066352844e-02,1.410360813140869141e+00,-6.424011588096618652e-01,-5.771549791097640991e-02,1.891791634261608124e-02,-7.076850626617670059e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,8.996389187497879636e-01,0.000000000000000000e+00
-3.947486728429794312e-02,1.408451795578002930e+00,-6.544657945632934570e-01,-8.486972749233245850e-02,2.098695561289787292e-02,4.138454049825668335e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.558527320960847673e+00,0.000000000000000000e+00
-4.590559005737304688e-02,1.405934572219848633e+00,-6.427940130233764648e-01,-1.118782088160514832e-01,2.071581780910491943e-02,-5.423223134130239487e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,9.780392239589172920e-01,0.000000000000000000e+00
-5.225906521081924438e-02,1.402812719345092773e+00,-6.331205964088439941e-01,-1.387171000242233276e-01,1.850911602377891541e-02,-4.413782805204391479e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,9.123266085846080120e-01,0.000000000000000000e+00
-5.854892730712890625e-02,1.399084091186523438e+00,-6.251407861709594727e-01,-1.656743586063385010e-01,1.470723282545804977e-02,-7.604503631591796875e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,8.396287226835010831e-01,0.000000000000000000e+00
-6.491518020629882812e-02,1.394742012023925781e+00,-6.347244381904602051e-01,-1.929646283388137817e-01,1.283303834497928619e-02,-3.748729079961776733e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.105543781871800801e+00,0.000000000000000000e+00
-7.119731605052947998e-02,1.389793395996093750e+00,-6.241894364356994629e-01,-2.199108004570007324e-01,8.848601952195167542e-03,-7.969617098569869995e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,9.933147588022290808e-01,0.000000000000000000e+00
-7.741604000329971313e-02,1.384254455566406250e+00,-6.162245869636535645e-01,-2.461481094360351562e-01,3.270825138315558434e-03,-1.115658283233642578e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,8.704185492773899302e-01,0.000000000000000000e+00
