obs0,obs1,obs2,obs3,action,reward,do_bool
-2.936323920446022237e-02,2.136609759111850748e-01,4.616688047761235980e-02,-2.440751422530886283e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-2.509001968623652060e-02,4.080941479168661568e-01,4.128537763255058640e-02,-5.218459052937592935e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-1.692813672789919566e-02,2.124161329246619934e-01,3.084845952667539942e-02,-2.164445413988519973e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
-1.267981406940595600e-02,1.686707200825493524e-02,2.651956869869835989e-02,8.580750236549455900e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-1.234247262924085750e-02,2.115990440053823474e-01,2.823571874600825163e-02,-1.983919078887081411e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-8.110491749133211248e-03,1.608485298609035885e-02,2.426788058823408853e-02,1.030626785998710604e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-7.788794689411403759e-03,2.108507640826939866e-01,2.632913416023150918e-02,-1.818661080453639611e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
-3.571779407757523679e-03,4.055862655612092471e-01,2.269181199932423024e-02,-4.661282485932162212e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.539945903466661818e-03,2.101511640980811557e-01,1.336924702745990491e-02,-1.663802477918095435e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
8.742969185428285314e-03,1.484041639292882353e-02,1.004164207162371383e-02,1.304901337852164001e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.039777513286861507e-03,2.098170937465904107e-01,1.265144474732804100e-02,-1.590079439216928181e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.323611938821867007e-02,1.451632088821011579e-02,9.471285868894185195e-03,1.376391964684203217e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.352644580598287224e-02,2.095013433770579192e-01,1.222406979826259205e-02,-1.520407025628368047e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.771647267352403216e-02,4.044461453166396936e-01,9.183255747005856021e-03,-4.408422710854216220e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.580539557985682408e-02,2.091954461024539136e-01,3.664103252974237196e-04,-1.452787323740620251e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.998930450190590360e-02,1.406824948480106530e-02,-2.539164322183816956e-03,1.475197675378197570e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.027066949160192588e-02,-1.810172484358109624e-01,4.112310285725780806e-04,4.394005575715342893e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.665032452288570650e-02,1.409888017627242141e-02,9.199242180003263866e-03,1.468472913196082752e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.693230212641115409e-02,2.090878944089236413e-01,1.213618800639542847e-02,-1.429193151983178534e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.111406001458962706e-02,4.040339530123578937e-01,9.277801702429071956e-03,-4.317489169071532795e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.919473907483678188e-02,2.087818691499036539e-01,6.428233642860065739e-04,-1.361557615780367159e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.337037645783485551e-02,1.365071643135948309e-02,-2.080291867274727900e-03,1.567298970815199644e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.364339078646204545e-02,2.088023903444635732e-01,1.054306074355671440e-03,-1.366085857503370748e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.781943859335131830e-02,4.039092246098921479e-01,-1.677865640651070127e-03,-4.289587085651543341e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.589762308554915848e-02,5.990548974280758276e-01,-1.025703981195415573e-02,-7.221700980240032264e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.787872103411067559e-02,7.943172174157440146e-01,-2.470044177243422082e-02,-1.018063687766629810e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
8.376506538242556310e-02,5.995330825480558179e-01,-4.506171552776681855e-02,-7.332378024834762531e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.575572703338668112e-02,4.050617543150120126e-01,-5.972647157743634500e-02,-4.550705853349903962e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.038569621196869242e-01,2.108329096863958696e-01,-6.882788328413615153e-02,-1.817959558718970636e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.080736203134148449e-01,4.068687768047760667e-01,-7.246380240157408725e-02,-4.953729489259776075e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.162109958495103623e-01,2.128395145043073811e-01,-8.237126138009363829e-02,-2.263785752168469556e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.204677861395965083e-01,1.898546205633241946e-02,-8.689883288443057963e-02,3.922680822785140631e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.208474953807231606e-01,-1.747898277967898650e-01,-8.611429671987355650e-02,3.032768615715302762e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.173516988247873677e-01,-3.685856923904097249e-01,-8.004875948844294986e-02,5.676071557746389384e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.099799849769791671e-01,-1.724375272516332214e-01,-6.869661637295017276e-02,2.508178546017384991e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.065312344319465088e-01,2.359473901105360594e-02,-6.368025928091540500e-02,-6.271790073798261256e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.070031292121675776e-01,-1.705591237530440507e-01,-6.493461729567505392e-02,2.092132516515142204e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.035919467371066993e-01,2.542831638228915114e-02,-6.075035226264476756e-02,-1.032257041075076986e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.041005130647524868e-01,2.213658965980191129e-01,-6.281486634479492570e-02,-4.144395145246561607e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.085278309967128707e-01,2.718790314893873572e-02,-7.110365663528804558e-02,-1.422023910934469004e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.090715890596916510e-01,-1.668474937548928561e-01,-7.394770445715698193e-02,1.272284063161467360e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
