obs0,obs1,obs2,obs3,obs4,obs5,obs6,obs7,action,reward,do_bool
-1.520690880715847015e-02,1.405477046966552734e+00,-7.634662389755249023e-01,-1.340630054473876953e-01,1.563281752169132233e-02,1.354583203792572021e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,2.171033440997132413e-01,0.000000000000000000e+00
-2.267990075051784515e-02,1.401876211166381836e+00,-7.517541646957397461e-01,-1.600873321294784546e-01,2.004448696970939636e-02,8.824180066585540771e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,5.324877344820333480e-01,0.000000000000000000e+00
-3.008842468261718750e-02,1.397673249244689941e+00,-7.436827421188354492e-01,-1.868344992399215698e-01,2.283637411892414093e-02,5.584280565381050110e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,2.788567496702978321e-01,0.000000000000000000e+00
-3.743219375610351562e-02,1.392874479293823242e+00,-7.355521321296691895e-01,-2.133009433746337891e-01,2.399467863142490387e-02,2.316862158477306366e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,4.099003258552909035e-01,0.000000000000000000e+00
-4.471092298626899719e-02,1.387474060058593750e+00,-7.273883819580078125e-01,-2.400081008672714233e-01,2.351645566523075104e-02,-9.565311484038829803e-03,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,5.254465721468772887e-01,0.000000000000000000e+00
-5.191631242632865906e-02,1.381485581398010254e+00,-7.181724309921264648e-01,-2.661228477954864502e-01,2.118660137057304382e-02,-4.660142213106155396e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,7.831798966809355722e-01,0.000000000000000000e+00
-5.912151187658309937e-02,1.374897003173828125e+00,-7.181643843650817871e-01,-2.927915453910827637e-01,1.885756291449069977e-02,-4.658525064587593079e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.040136905352255781e-01,0.000000000000000000e+00
-6.632661819458007812e-02,1.367708444595336914e+00,-7.181572318077087402e-01,-3.194601833820343018e-01,1.652846857905387878e-02,-4.658625274896621704e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.268614678482151703e-01,0.000000000000000000e+00
-7.353182137012481689e-02,1.359920024871826172e+00,-7.181504964828491211e-01,-3.461287915706634521e-01,1.419974397867918015e-02,-4.657896980643272400e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.467527689355563325e-01,0.000000000000000000e+00
-8.073683083057403564e-02,1.351531624794006348e+00,-7.181435823440551758e-01,-3.727974593639373779e-01,1.187138631939888000e-02,-4.657157510519027710e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.635555548792808622e-01,0.000000000000000000e+00
-8.794174343347549438e-02,1.342543363571166992e+00,-7.181366682052612305e-01,-3.994662165641784668e-01,9.543363004922866821e-03,-4.656492918729782104e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.773553819940332232e-01,0.000000000000000000e+00
-9.505043178796768188e-02,1.332951307296752930e+00,-7.060697078704833984e-01,-4.262845218181610107e-01,4.798932466655969620e-03,-9.489763528108596802e-02,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,1.051697873121726134e+00,0.000000000000000000e+00
-1.021589264273643494e-01,1.322759628295898438e+00,-7.060543298721313477e-01,-4.529545903205871582e-01,5.622765820589847863e-05,-9.486252814531326294e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.976945508814310415e-02,0.000000000000000000e+00
-1.092673316597938538e-01,1.311968326568603516e+00,-7.060400247573852539e-01,-4.796247780323028564e-01,-4.686254076659679413e-03,-9.485845267772674561e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.126273467015550978e-01,0.000000000000000000e+00
-1.163755431771278381e-01,1.300577163696289062e+00,-7.060264348983764648e-01,-5.062949657440185547e-01,-9.428026154637336731e-03,-9.484379738569259644e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.260273079845262600e-01,0.000000000000000000e+00
-1.234835609793663025e-01,1.288586258888244629e+00,-7.060126066207885742e-01,-5.329652428627014160e-01,-1.416908204555511475e-02,-9.482973068952560425e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.253801683712197246e-01,0.000000000000000000e+00
-1.305914819240570068e-01,1.275995731353759766e+00,-7.059987783432006836e-01,-5.596355795860290527e-01,-1.890944875776767731e-02,-9.481570124626159668e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.221542747994533329e-01,0.000000000000000000e+00
-1.376992166042327881e-01,1.262805342674255371e+00,-7.059851884841918945e-01,-5.863061547279357910e-01,-2.364913746714591980e-02,-9.480232000350952148e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.164404547591118444e-01,0.000000000000000000e+00
-1.447830200195312500e-01,1.249806404113769531e+00,-7.036362886428833008e-01,-5.778091549873352051e-01,-2.833541668951511383e-02,-9.373420476913452148e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.166147190317201376e+00,0.000000000000000000e+00
-1.517689675092697144e-01,1.236883997917175293e+00,-6.942663192749023438e-01,-5.744167566299438477e-01,-3.262619301676750183e-02,-8.582297712564468384e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.410143086371033361e+00,0.000000000000000000e+00
-1.587042808532714844e-01,1.223924994468688965e+00,-6.893757581710815430e-01,-5.760542154312133789e-01,-3.673866018652915955e-02,-8.225652575492858887e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,7.589947181256320174e-01,0.000000000000000000e+00
-1.654730737209320068e-01,1.211839437484741211e+00,-6.733371615409851074e-01,-5.372284054756164551e-01,-4.024628549814224243e-02,-7.015898078680038452e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,4.156143742622657733e+00,0.000000000000000000e+00
-1.722417771816253662e-01,1.199153661727905273e+00,-6.733278036117553711e-01,-5.639080405235290527e-01,-4.375383257865905762e-02,-7.015729695558547974e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.763336613399417274e-01,0.000000000000000000e+00
-1.788689643144607544e-01,1.186490416526794434e+00,-6.597400903701782227e-01,-5.629034042358398438e-01,-4.668975993990898132e-02,-5.872343108057975769e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.665303174934632535e+00,0.000000000000000000e+00
-1.855733841657638550e-01,1.173229694366455078e+00,-6.700123548507690430e-01,-5.893836617469787598e-01,-4.711411148309707642e-02,-8.490372449159622192e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-1.374612111332452313e+00,0.000000000000000000e+00
-1.924200952053070068e-01,1.160000443458557129e+00,-6.831026077270507812e-01,-5.880119800567626953e-01,-4.865847527980804443e-02,-3.088735975325107574e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,-1.555094359510064694e-01,0.000000000000000000e+00
-1.993869841098785400e-01,1.146993160247802734e+00,-6.944371461868286133e-01,-5.781802535057067871e-01,-5.088081583380699158e-02,-4.444667696952819824e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,4.136640130197520304e-01,0.000000000000000000e+00
-2.064615786075592041e-01,1.134660243988037109e+00,-7.045057415962219238e-01,-5.482274889945983887e-01,-5.380000174045562744e-02,-5.838384106755256653e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.592518476193799826e+00,0.000000000000000000e+00
