obs0,obs1,obs2,obs3,action,reward
-4.546288264673072760e-02,1.786242182771080322e-01,3.248261059618309105e-02,-2.572587157504486743e-01,1.000000000000000000e+00,1.000000000000000000e+00
-4.189039828118856779e-02,3.732677239496970389e-01,2.733743628117411839e-02,-5.395217503873085407e-01,1.000000000000000000e+00,1.000000000000000000e+00
-3.442504380219462562e-02,5.679949284305626511e-01,1.654700127342794563e-02,-8.234672137799630143e-01,1.000000000000000000e+00,1.000000000000000000e+00
-2.306514523358337010e-02,7.628866568946163218e-01,7.765699782868659695e-05,-1.110900189520634962e+00,1.000000000000000000e+00,1.000000000000000000e+00
-7.807412095691043316e-03,5.677636855451831943e-01,-2.214034679258401403e-02,-8.181929022216793967e-01,0.000000000000000000e+00,1.000000000000000000e+00
3.547861615212621542e-03,3.729516829625711960e-01,-3.850420483701760127e-02,-5.325552474866985797e-01,0.000000000000000000e+00,1.000000000000000000e+00
1.100689527446404442e-02,5.685934308789657443e-01,-4.915530978675157481e-02,-8.371177954892734530e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.237876389204335875e-02,7.643510317027878420e-01,-6.589766569653704442e-02,-1.144845361471687362e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.766578452609911642e-02,9.602689539903359606e-01,-8.879457292597078832e-02,-1.457444290128841358e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.687116360590583480e-02,1.156361064757161383e+00,-1.179434587285476121e-01,-1.776494968400499808e+00,1.000000000000000000e+00,1.000000000000000000e+00
7.999838490104906052e-02,1.352597737392210453e+00,-1.534733580965575994e-01,-2.103400053295110261e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.070503396488932668e-01,1.548890812119270599e+00,-1.955413591624597935e-01,-2.439323085147460546e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.380281558912786755e-01,1.355907418891949323e+00,-2.443278208654089956e-01,-2.212488125703446773e+00,0.000000000000000000e+00,1.000000000000000000e+00
