obs0,obs1,obs2,obs3,obs4,obs5,obs6,obs7,action,reward,do_bool
6.876468658447265625e-03,1.403228163719177246e+00,3.477694988250732422e-01,-1.837703436613082886e-01,-7.875169627368450165e-03,-7.796523720026016235e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.066186474915582494e+00,0.000000000000000000e+00
1.031503640115261078e-02,1.398493766784667969e+00,3.477818369865417480e-01,-2.104448676109313965e-01,-1.177073176950216293e-02,-7.791830599308013916e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.234016675086110126e+00,0.000000000000000000e+00
1.375360507518053055e-02,1.393159508705139160e+00,3.477935791015625000e-01,-2.371175587177276611e-01,-1.566576398909091949e-02,-7.790782302618026733e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.302794778378114415e+00,0.000000000000000000e+00
1.719226874411106110e-02,1.387225389480590820e+00,3.478050827980041504e-01,-2.637871801853179932e-01,-1.956017687916755676e-02,-7.789555937051773071e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.358794361931984440e+00,0.000000000000000000e+00
2.063112333416938782e-02,1.380691289901733398e+00,3.478166460990905762e-01,-2.904564738273620605e-01,-2.345399744808673859e-02,-7.788332551717758179e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.403081370807313988e+00,0.000000000000000000e+00
2.406997606158256531e-02,1.373557329177856445e+00,3.478280901908874512e-01,-3.171258568763732910e-01,-2.734717167913913727e-02,-7.787086069583892822e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.436425205016831796e+00,0.000000000000000000e+00
2.750911749899387360e-02,1.365823864936828613e+00,3.478395342826843262e-01,-3.437953889369964600e-01,-3.123976290225982666e-02,-7.785866409540176392e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.459895984724653317e+00,0.000000000000000000e+00
3.085260465741157532e-02,1.357494473457336426e+00,3.358579277992248535e-01,-3.702305257320404053e-01,-3.272578492760658264e-02,-2.972313202917575836e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-4.333194012413901230e-01,0.000000000000000000e+00
3.419618681073188782e-02,1.348564863204956055e+00,3.358616232872009277e-01,-3.968992531299591064e-01,-3.421263024210929871e-02,-2.973939478397369385e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.270373539692911891e+00,0.000000000000000000e+00
3.753986209630966187e-02,1.339035391807556152e+00,3.358655571937561035e-01,-4.235679507255554199e-01,-3.569871559739112854e-02,-2.972439862787723541e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.268413316827206927e+00,0.000000000000000000e+00
4.079399257898330688e-02,1.328899502754211426e+00,3.246530592441558838e-01,-4.504693448543548584e-01,-3.494080901145935059e-02,1.515927445143461227e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-4.204198966520766856e-01,0.000000000000000000e+00
4.396276548504829407e-02,1.318172454833984375e+00,3.139423429965972900e-01,-4.766886830329895020e-01,-3.203310444951057434e-02,5.815902352333068848e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-2.286196703558960042e-01,0.000000000000000000e+00
4.703998565673828125e-02,1.306840300559997559e+00,3.024675250053405762e-01,-5.035468935966491699e-01,-2.683173865079879761e-02,1.040367707610130310e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-5.043985455082974911e-02,0.000000000000000000e+00
5.011701583862304688e-02,1.294908523559570312e+00,3.024516701698303223e-01,-5.302170515060424805e-01,-2.163166925311088562e-02,1.040105223655700684e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.000660442420837626e-01,0.000000000000000000e+00
5.311365053057670593e-02,1.282389044761657715e+00,2.923531830310821533e-01,-5.563383102416992188e-01,-1.440711971372365952e-02,1.445039212703704834e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.253208737649640636e-01,0.000000000000000000e+00
